id,category,name,default_portion_value,default_portion_unit,kcal_per_100g,carbs_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,flavor_tags,dietary_tags,allergens,default_cooking_method,shelf_life_days,typical_availability,blacklisted
1,Base,White Rice,150,g,130,28.2,2.7,0.3,0.4,savory|mild,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free,,boil,730,year_round,false
2,Base,Brown Rice,150,g,112,23.0,2.3,0.8,1.8,savory|earthy|mild,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|whole-grain|high-fiber,,boil,730,year_round,false
3,Base,Quinoa,150,g,120,21.3,4.4,1.9,2.8,nutty|earthy,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-protein|whole-grain,,boil,730,year_round,false
4,Base,Pasta,150,g,158,30.9,5.8,0.9,1.8,savory|mild,vegetarian|dairy-free|nut-free|soy-free|egg-free,,boil,730,year_round,false
5,Base,Soba Noodles,150,g,99,21.4,4.8,0.1,0.0,savory|mild,vegetarian|dairy-free|nut-free|soy-free|egg-free,gluten,boil,730,year_round,false
6,Base,Couscous,150,g,112,23.2,3.8,0.2,1.4,savory|mild,vegetarian|dairy-free|nut-free|soy-free|egg-free,gluten,steam,730,year_round,false
7,Base,Bulgur,150,g,83,18.6,3.1,0.2,4.5,earthy|nutty,vegetarian|dairy-free|nut-free|soy-free|egg-free|whole-grain|high-fiber,gluten,boil,730,year_round,false
8,Base,Farro,150,g,170,34.2,5.0,1.0,3.5,nutty|earthy|savory,vegetarian|dairy-free|nut-free|soy-free|egg-free|whole-grain,gluten,boil,730,year_round,false
9,Base,Red Lentils,150,g,116,20.1,9.0,0.4,7.9,earthy|savory|mild,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-protein|high-fiber,,boil,730,year_round,false
10,Base,Chickpeas,150,g,164,27.4,8.9,2.6,7.6,nutty|savory,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-protein|high-fiber,,boil,365,year_round,false
11,Base,Sweet Potato,150,g,86,20.1,1.6,0.1,3.0,sweet|earthy,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-fiber,,roast,14,year_round,false
12,Base,Potatoes,150,g,77,17.5,2.0,0.1,2.2,savory|earthy|mild,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free,,boil,21,year_round,false
13,Base,Pearl Barley,150,g,123,28.2,3.6,0.4,3.8,nutty|earthy,vegetarian|dairy-free|nut-free|soy-free|egg-free|whole-grain,gluten,boil,730,year_round,false
14,Base,Wild Rice,150,g,101,21.3,4.0,0.3,1.8,earthy|nutty|savory,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-fiber,,boil,730,year_round,false
15,Base,Cauliflower Rice,150,g,25,5.3,2.0,0.3,2.0,mild|fresh,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|low-carb,,steam,7,year_round,false
16,Vegetable,Broccoli,120,g,34,6.6,2.8,0.4,2.6,savory|fresh|mild,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-fiber,,steam,7,year_round,false
17,Vegetable,Spinach,80,g,23,3.6,2.9,0.4,2.2,fresh|mild|earthy,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free,,sauté,5,year_round,false
18,Vegetable,Kale,80,g,49,8.8,4.3,0.9,3.6,bitter|earthy|bold,vegan|vegetarian|gluten-free|dairy-free|nut-free|soy-free|egg-free|high-fiber,,sauté,7,year_round,false
